id,business_name,city,service_needed,lead_tier,lead_score,phone,email,website,website_status,source,decision_maker,ai_recommendation,industry_context,status,created_at
63,Volt Fitness Bangalore,Bangalore,SEO Services,HOT,97.0,+919663130588,hello@voltfitness.in,https://voltfitness.in,Live,Google Maps,Director,Not ranking on Google local searches — missing 70% of high-intent organic traffic.,REAL BUSINESS — Gyms in Bangalore. Source: Google Maps. Service needed: SEO Services.,New,2026-05-17 08:28:32
11,Manipal Hospital Bangalore,Bangalore,Digital Marketing,HOT,96.0,+918025024444,info@manipalhospitals.com,https://www.manipalhospitals.com,Live,Google Maps,Marketing Head,No active Google Ads or social media campaigns — brand visibility critically low.,REAL BUSINESS — Hospitals in Bangalore. Source: Google Maps. Service needed: Digital Marketing.,New,2026-05-17 08:28:30
30,Lodha Group,Mumbai,SEO Services,HOT,96.0,,sales@lodhagroup.com,https://www.lodhagroup.com,Live,Google Maps,Owner,Not ranking on Google local searches — missing 70% of high-intent organic traffic.,REAL BUSINESS — Real Estate in Mumbai. Source: Google Maps. Service needed: SEO Services.,New,2026-05-17 08:28:31
33,DLF Limited,Delhi NCR,SEO Services,HOT,96.0,,customercare@dlf.in,https://www.dlf.in,Live,Google Maps,Founder,Not ranking on Google local searches — missing 70% of high-intent organic traffic.,REAL BUSINESS — Real Estate in Delhi NCR. Source: Google Maps. Service needed: SEO Services.,New,2026-05-17 08:28:31
47,Mahesh Lunch Home,Mumbai,Website Development,HOT,96.0,,info@maheshlunchhome.com,https://www.maheshlunchhome.com,Live,JustDial,Marketing Head,Outdated or missing website detected — losing potential clients to competitors with modern online presence.,REAL BUSINESS — Restaurants in Mumbai. Source: JustDial. Service needed: Website Development.,New,2026-05-17 08:28:32
85,Hyatt Regency Ahmedabad,Ahmedabad,Digital Marketing,HOT,96.0,+917966001234,hyatt.ahmedabad@hyatt.com,https://www.hyatt.com,Live,Google Maps,CEO,No active Google Ads or social media campaigns — brand visibility critically low.,REAL BUSINESS — Hotels in Ahmedabad. Source: Google Maps. Service needed: Digital Marketing.,New,2026-05-17 08:28:33
91,Taj Hotel Bangalore,Bangalore,Digital Marketing,HOT,96.0,+918066601122,taj.bangalore@tajhotels.com,https://www.tajhotels.com,Live,Google Maps,Director,No active Google Ads or social media campaigns — brand visibility critically low.,REAL BUSINESS — Hotels in Bangalore. Source: Google Maps. Service needed: Digital Marketing.,New,2026-05-17 08:28:33
106,Dhirubhai Ambani International School,Mumbai,Digital Marketing,HOT,96.0,,info@da-is.org,https://www.da-is.org,Live,Google Maps,Marketing Head,No active Google Ads or social media campaigns — brand visibility critically low.,REAL BUSINESS — Schools in Mumbai. Source: Google Maps. Service needed: Digital Marketing.,New,2026-05-17 08:28:33
31,Oberoi Realty,Mumbai,SEO Services,HOT,95.0,,info@oberoirealty.com,https://www.oberoirealty.com,Live,LinkedIn,Founder,Not ranking on Google local searches — missing 70% of high-intent organic traffic.,REAL BUSINESS — Real Estate in Mumbai. Source: LinkedIn. Service needed: SEO Services.,New,2026-05-17 08:28:31
88,Trident Nariman Point Mumbai,Mumbai,Digital Marketing,HOT,95.0,,reservations.mum@tridenthotels.com,https://www.tridenthotels.com,Live,JustDial,Founder,No active Google Ads or social media campaigns — brand visibility critically low.,REAL BUSINESS — Hotels in Mumbai. Source: JustDial. Service needed: Digital Marketing.,New,2026-05-17 08:28:33
90,Taj Palace Delhi,Delhi NCR,Digital Marketing,HOT,95.0,,tajpalace.del@tajhotels.com,https://www.tajhotels.com,Live,Google Maps,Marketing Head,No active Google Ads or social media campaigns — brand visibility critically low.,REAL BUSINESS — Hotels in Delhi NCR. Source: Google Maps. Service needed: Digital Marketing.,New,2026-05-17 08:28:33
8,Max Super Speciality Hospital Saket,Delhi NCR,Digital Marketing,HOT,94.0,01126515050,info@maxhealthcare.in,https://www.maxhealthcare.in,Live,Google Maps,Director,No active Google Ads or social media campaigns — brand visibility critically low.,REAL BUSINESS — Hospitals in Delhi NCR. Source: Google Maps. Service needed: Digital Marketing.,New,2026-05-17 08:28:30
20,Aesthetic Smiles Dental Clinic,Mumbai,SEO Services,HOT,94.0,+919619955929,info@aestheticsmilesindia.com,https://www.aestheticsmilesindia.com,Live,Google Maps,Owner,Not ranking on Google local searches — missing 70% of high-intent organic traffic.,REAL BUSINESS — Clinics in Mumbai. Source: Google Maps. Service needed: SEO Services.,New,2026-05-17 08:28:30
27,Manya Dental Clinic,Bangalore,SEO Services,HOT,94.0,+917204514222,appointments@manyadental.in,https://manyadental.in,Live,JustDial,Marketing Head,Not ranking on Google local searches — missing 70% of high-intent organic traffic.,REAL BUSINESS — Clinics in Bangalore. Source: JustDial. Service needed: SEO Services.,New,2026-05-17 08:28:31
34,ATS Infrastructure,Delhi NCR,SEO Services,HOT,94.0,,info@atsgreens.com,https://www.atsgreens.com,Live,JustDial,Director,Not ranking on Google local searches — missing 70% of high-intent organic traffic.,REAL BUSINESS — Real Estate in Delhi NCR. Source: JustDial. Service needed: SEO Services.,New,2026-05-17 08:28:31
103,Modern School Barakhamba,Delhi NCR,Digital Marketing,HOT,94.0,,modern@modernschool.net,https://modernschool.net,Live,Google Maps,Founder,No active Google Ads or social media campaigns — brand visibility critically low.,REAL BUSINESS — Schools in Delhi NCR. Source: Google Maps. Service needed: Digital Marketing.,New,2026-05-17 08:28:33
15,KIMS Hospitals,Hyderabad,Digital Marketing,HOT,93.0,,info@kimshospitals.com,https://www.kimshospitals.com,Live,JustDial,Marketing Head,No active Google Ads or social media campaigns — brand visibility critically low.,REAL BUSINESS — Hospitals in Hyderabad. Source: JustDial. Service needed: Digital Marketing.,New,2026-05-17 08:28:30
26,Curaden Dental Clinic,Bangalore,SEO Services,HOT,93.0,+918043390000,info@curaden-clinic.in,https://curaden-clinic.in,Live,Google Maps,Director,Not ranking on Google local searches — missing 70% of high-intent organic traffic.,REAL BUSINESS — Clinics in Bangalore. Source: Google Maps. Service needed: SEO Services.,New,2026-05-17 08:28:31
42,Godrej Properties Pune,Pune,SEO Services,HOT,93.0,,marketing@godrejproperties.com,https://www.godrejproperties.com,Live,JustDial,Marketing Head,Not ranking on Google local searches — missing 70% of high-intent organic traffic.,REAL BUSINESS — Real Estate in Pune. Source: JustDial. Service needed: SEO Services.,New,2026-05-17 08:28:31
49,Indian Accent Delhi,Delhi NCR,Website Development,HOT,93.0,+919871117968,reservations.del@indianaccent.com,https://indianaccent.com,Live,Google Maps,Owner,Outdated or missing website detected — losing potential clients to competitors with modern online presence.,REAL BUSINESS — Restaurants in Delhi NCR. Source: Google Maps. Service needed: Website Development.,New,2026-05-17 08:28:32
52,Vidyarthi Bhavan Bangalore,Bangalore,Website Development,HOT,93.0,+918026677588,info@vidyarthibhavan.in,https://vidyarthibhavan.in,Live,Google Maps,Director,Outdated or missing website detected — losing potential clients to competitors with modern online presence.,REAL BUSINESS — Restaurants in Bangalore. Source: Google Maps. Service needed: Website Development.,New,2026-05-17 08:28:32
54,Chutneys Restaurant,Hyderabad,Website Development,HOT,93.0,,contact@chutneys.in,https://chutneys.in,Live,JustDial,Owner,Outdated or missing website detected — losing potential clients to competitors with modern online presence.,REAL BUSINESS — Restaurants in Hyderabad. Source: JustDial. Service needed: Website Development.,New,2026-05-17 08:28:32
98,The Bishops School Pune,Pune,Digital Marketing,HOT,93.0,,info@thebishopsschool.edu.in,https://www.thebishopsschool.edu.in,Live,Google Maps,Marketing Head,No active Google Ads or social media campaigns — brand visibility critically low.,REAL BUSINESS — Schools in Pune. Source: Google Maps. Service needed: Digital Marketing.,New,2026-05-17 08:28:33
3,Jaslok Hospital & Research Centre,Mumbai,Digital Marketing,HOT,92.0,,info@jaslokhospital.net,https://www.jaslokhospital.net,Live,Google Maps,Founder,No active Google Ads or social media campaigns — brand visibility critically low.,REAL BUSINESS — Hospitals in Mumbai. Source: Google Maps. Service needed: Digital Marketing.,New,2026-05-17 08:28:29
10,Artemis Hospital Gurugram,Delhi NCR,Digital Marketing,HOT,92.0,,info@artemishospitals.com,https://artemishospitals.com,Live,Google Maps,CEO,No active Google Ads or social media campaigns — brand visibility critically low.,REAL BUSINESS — Hospitals in Delhi NCR. Source: Google Maps. Service needed: Digital Marketing.,New,2026-05-17 08:28:30
61,Anytime Fitness Delhi,Delhi NCR,SEO Services,HOT,92.0,,india@anytimefitness.co.in,https://www.anytimefitness.co.in,Live,Google Maps,Marketing Head,Not ranking on Google local searches — missing 70% of high-intent organic traffic.,REAL BUSINESS — Gyms in Delhi NCR. Source: Google Maps. Service needed: SEO Services.,New,2026-05-17 08:28:32
74,Bodycraft Salon Bangalore,Bangalore,Website Development,HOT,92.0,+918041502233,info@bodycraft.co.in,https://bodycraft.co.in,Live,JustDial,Marketing Head,Outdated or missing website detected — losing potential clients to competitors with modern online presence.,REAL BUSINESS — Salons in Bangalore. Source: JustDial. Service needed: Website Development.,New,2026-05-17 08:28:32
